#{"t_start": 1775963853.2924392, "env_id": "FetchReach-v4"}
r,l,t
-44.0,50,391.83682
-10.0,50,392.360459
-4.0,50,392.915085
-50.0,50,393.463886
-50.0,50,393.998069
-32.0,50,394.532262
-50.0,50,395.055766
-36.0,50,395.579358
-50.0,50,396.108026
-49.0,50,396.634841
-25.0,50,397.168869
-16.0,50,397.701653
-50.0,50,398.24237
-50.0,50,398.775247
-50.0,50,399.298482
-49.0,50,399.830329
-4.0,50,400.354815
-50.0,50,400.865542
-16.0,50,401.369005
-12.0,50,401.871742
-50.0,50,402.38747
-50.0,50,402.89904
-50.0,50,403.40637
-5.0,50,403.921209
-4.0,50,404.441725
-50.0,50,404.945568
-50.0,50,405.457699
-50.0,50,405.97286
-20.0,50,406.496535
-47.0,50,407.012108
-4.0,50,407.523785
-50.0,50,408.027666
-23.0,50,408.540076
-49.0,50,409.050858
-39.0,50,409.575328
-18.0,50,410.086348
-50.0,50,410.598373
-34.0,50,411.10041
-50.0,50,411.606309
-45.0,50,412.11799
-37.0,50,412.634274
-50.0,50,413.143
-50.0,50,413.657672
-27.0,50,414.167589
-41.0,50,414.673452
-20.0,50,415.176466
-10.0,50,415.686584
-30.0,50,416.200848
-6.0,50,416.730108
-49.0,50,417.248635
-50.0,50,417.764207
-50.0,50,418.27757
-50.0,50,418.804077
-40.0,50,419.318086
-41.0,50,419.834897
-50.0,50,420.390145
-14.0,50,421.456139
-48.0,50,421.987343
-50.0,50,422.512051
-38.0,50,423.037813
-47.0,50,423.568525
-26.0,50,424.100316
-50.0,50,424.626207
-50.0,50,425.155126
-30.0,50,425.685709
-42.0,50,426.213765
-4.0,50,426.759977
-6.0,50,427.298266
-17.0,50,427.831566
-48.0,50,428.360402
-50.0,50,428.904758
-3.0,50,429.437124
-50.0,50,429.968515
-50.0,50,430.494792
-36.0,50,431.022729
-45.0,50,431.549103
-31.0,50,432.075197
-50.0,50,432.598983
-3.0,50,433.136045
-50.0,50,433.682409
-50.0,50,434.241622
-31.0,50,434.767193
-10.0,50,435.303911
-46.0,50,435.838217
-50.0,50,436.380944
-50.0,50,436.906739
-50.0,50,437.446109
-50.0,50,437.978408
-30.0,50,438.539004
-15.0,50,439.081477
-50.0,50,439.607107
-50.0,50,440.129854
-48.0,50,440.665343
-6.0,50,441.188935
-46.0,50,441.711337
-7.0,50,442.238074
-48.0,50,442.775598
-50.0,50,443.311115
-45.0,50,443.838289
-50.0,50,444.363841
-15.0,50,444.892242
-49.0,50,445.415733
-39.0,50,445.958417
-50.0,50,446.492744
-30.0,50,447.074635
-39.0,50,447.606619
-37.0,50,448.140924
-50.0,50,448.684176
-50.0,50,449.22554
-44.0,50,449.75174
-50.0,50,450.294744
-50.0,50,450.834476
-30.0,50,451.417616
-50.0,50,451.949244
-50.0,50,452.481146
-50.0,50,453.029154
-21.0,50,453.562479
-2.0,50,454.102644
-40.0,50,454.638929
-50.0,50,455.165117
-46.0,50,455.696577
-50.0,50,456.233251
-50.0,50,456.759968
-16.0,50,457.285054
-7.0,50,457.822332
-39.0,50,458.356327
-18.0,50,458.912954
-50.0,50,459.438799
-36.0,50,459.966473
-50.0,50,460.493642
-50.0,50,461.016643
-22.0,50,461.53819
-50.0,50,462.066143
-50.0,50,462.595512
-3.0,50,463.13212
0.0,50,463.654661
-50.0,50,464.187166
-22.0,50,464.707568
-50.0,50,465.231786
-6.0,50,465.754567
-24.0,50,466.285647
-33.0,50,466.806416
-3.0,50,467.331017
-50.0,50,467.855272
-50.0,50,468.382933
-7.0,50,468.905182
-3.0,50,469.421182
-28.0,50,469.926976
-3.0,50,470.435901
-37.0,50,470.944807
-14.0,50,471.468284
-48.0,50,471.992343
-31.0,50,472.527873
-18.0,50,473.054955
-49.0,50,473.580216
0.0,50,474.111142
-49.0,50,474.641724
-50.0,50,475.169087
-46.0,50,475.697818
-32.0,50,476.221247
-50.0,50,476.748465
-50.0,50,477.280273
-17.0,50,477.811378
-50.0,50,478.3316
-50.0,50,478.84892
-10.0,50,479.359942
-28.0,50,479.87671
-42.0,50,480.399256
-40.0,50,480.927513
-3.0,50,481.471379
-50.0,50,482.000499
-50.0,50,482.529361
-50.0,50,483.05881
-50.0,50,483.590738
-14.0,50,484.122103
-20.0,50,484.646401
-50.0,50,485.178679
-50.0,50,485.707943
-50.0,50,486.237152
-3.0,50,486.774094
-40.0,50,487.306181
-49.0,50,487.837947
-12.0,50,488.365325
-1.0,50,488.89999
-50.0,50,489.433108
-22.0,50,489.959932
-50.0,50,490.487471
-50.0,50,491.016153
-50.0,50,491.544015
-31.0,50,492.071558
-50.0,50,492.594611
-44.0,50,493.11617
-11.0,50,493.639373
-50.0,50,494.170924
-50.0,50,494.690922
-50.0,50,495.212507
-50.0,50,495.743955
-50.0,50,496.26834
-7.0,50,496.788623
-50.0,50,497.308527
-44.0,50,497.834282
-4.0,50,498.349901
-3.0,50,498.869845
-43.0,50,499.389018
-43.0,50,499.913046
-2.0,50,500.435155
-24.0,50,500.957505
-29.0,50,501.476683
-42.0,50,502.00264
-50.0,50,502.522532
-6.0,50,503.051629
-50.0,50,503.572351
-1.0,50,504.098805
-50.0,50,504.620879
-50.0,50,505.144657
-50.0,50,505.671907
-50.0,50,506.196835
-25.0,50,506.726269
-43.0,50,507.253329
-24.0,50,507.769654
-47.0,50,508.29653
-50.0,50,508.818624
-39.0,50,509.334961
-49.0,50,509.855313
-31.0,50,510.384226
-16.0,50,510.904714
-50.0,50,511.425163
-50.0,50,511.945001
-41.0,50,512.469314
-50.0,50,512.987499
-50.0,50,513.517538
-31.0,50,514.040909
-16.0,50,514.579351
-50.0,50,515.098413
-1.0,50,515.617275
-50.0,50,516.136953
-50.0,50,516.659451
-36.0,50,517.177544
-19.0,50,517.70603
-4.0,50,518.233227
-50.0,50,518.765846
-48.0,50,519.285401
-21.0,50,519.807944
-37.0,50,520.345209
-50.0,50,520.870762
-43.0,50,521.391687
-2.0,50,521.910148
-21.0,50,522.444542
-2.0,50,522.9682
-50.0,50,523.489738
-50.0,50,524.011418
-32.0,50,524.543099
-8.0,50,525.073354
-50.0,50,525.591437
-50.0,50,526.112036
-21.0,50,526.633524
-16.0,50,527.681919
-2.0,50,528.205522
-22.0,50,528.739164
-27.0,50,529.262871
-47.0,50,529.790453
-50.0,50,530.314653
-50.0,50,530.848878
-50.0,50,531.369726
-50.0,50,531.89775
-39.0,50,532.418573
-1.0,50,532.943694
-6.0,50,533.471367
-50.0,50,534.005054
-50.0,50,534.526493
-28.0,50,535.061185
-50.0,50,535.585521
-47.0,50,536.114332
-50.0,50,536.637
-40.0,50,537.161401
-48.0,50,537.687722
-9.0,50,538.22782
-50.0,50,538.766367
-5.0,50,539.307051
-34.0,50,539.840447
-41.0,50,540.375591
-14.0,50,540.90621
-50.0,50,541.435552
-50.0,50,541.966847
-50.0,50,542.509576
-50.0,50,543.035397
-7.0,50,543.542612
-22.0,50,544.050486
-50.0,50,544.559439
-50.0,50,545.069551
-21.0,50,545.589975
-26.0,50,546.106606
-50.0,50,546.625301
-50.0,50,547.141683
-50.0,50,547.674204
-47.0,50,548.183151
-49.0,50,548.694805
0.0,50,549.201229
-50.0,50,549.705126
0.0,50,550.225187
-33.0,50,550.757202
-41.0,50,551.282685
-50.0,50,551.808235
-30.0,50,552.3384
-50.0,50,552.863434
-29.0,50,553.386129
-45.0,50,553.90938
-12.0,50,554.465051
-50.0,50,555.013402
-50.0,50,555.53911
-9.0,50,556.077967
-50.0,50,556.614541
-50.0,50,557.165703
-50.0,50,557.695887
-50.0,50,558.225601
-2.0,50,558.752045
-50.0,50,559.277829
-7.0,50,559.798932
-50.0,50,560.309204
-50.0,50,560.820289
-50.0,50,561.34616
-2.0,50,561.863528
-12.0,50,562.380495
-2.0,50,562.883653
-18.0,50,563.402374
-5.0,50,563.928895
-50.0,50,564.452078
-50.0,50,564.978403
-44.0,50,565.511062
-50.0,50,566.063799
-49.0,50,566.583055
-5.0,50,567.10705
-45.0,50,567.653418
-5.0,50,568.18526
0.0,50,568.712895
-50.0,50,569.245322
-50.0,50,569.774481
-50.0,50,570.292986
-50.0,50,570.827659
-50.0,50,571.358082
-35.0,50,571.902478
-50.0,50,572.428471
-50.0,50,572.96175
-50.0,50,573.48882
-50.0,50,574.022113
-36.0,50,574.548532
-4.0,50,575.086393
-48.0,50,575.616406
-50.0,50,576.149293
-50.0,50,576.671906
-35.0,50,577.193942
-50.0,50,577.72137
0.0,50,578.247201
-48.0,50,578.77745
-22.0,50,579.305483
-50.0,50,579.824866
-13.0,50,580.356776
-6.0,50,580.864968
-15.0,50,581.392348
-4.0,50,581.90324
-50.0,50,582.421278
-43.0,50,582.938397
-50.0,50,583.468446
-50.0,50,584.048525
-50.0,50,584.59963
-50.0,50,585.151413
-6.0,50,585.696544
-7.0,50,586.240794
-50.0,50,586.788279
-50.0,50,587.320154
-47.0,50,587.886055
-50.0,50,588.433725
-1.0,50,588.972756
-50.0,50,589.501724
-50.0,50,590.042689
-50.0,50,590.574376
0.0,50,591.104199
-50.0,50,591.638282
-50.0,50,592.215164
-50.0,50,592.73777
-5.0,50,593.267079
-10.0,50,593.793037
-19.0,50,594.325305
-50.0,50,594.849348
-50.0,50,595.376237
-50.0,50,595.898274
0.0,50,596.4231
-49.0,50,596.947598
-50.0,50,597.47592
-47.0,50,598.004125
-48.0,50,598.518839
-32.0,50,599.025983
-6.0,50,599.546206
-2.0,50,600.06207
-47.0,50,600.606229
-50.0,50,601.134437
-50.0,50,601.66727
-50.0,50,602.20929
-25.0,50,602.730414
-50.0,50,603.248185
-50.0,50,603.760227
-50.0,50,604.285269
-49.0,50,604.809983
-50.0,50,605.333727
-29.0,50,605.862915
-50.0,50,606.401724
-2.0,50,606.925376
-50.0,50,607.44879
-50.0,50,607.974243
-4.0,50,608.514494
-37.0,50,609.036689
-50.0,50,609.559736
-50.0,50,610.102887
