#{"t_start": 1775970332.082854, "env_id": "FetchReach-v4"}
r,l,t
-50.0,50,43.354807
-50.0,50,43.464921
-50.0,50,43.579094
-50.0,50,43.690338
-50.0,50,43.805526
-50.0,50,43.923577
-50.0,50,44.034036
-50.0,50,44.149444
-50.0,50,44.262238
-50.0,50,44.378933
-50.0,50,44.491003
-49.0,50,44.604921
-50.0,50,44.716947
-50.0,50,44.832871
-49.0,50,44.944152
-50.0,50,45.377244
-50.0,50,45.488716
-50.0,50,45.602713
-50.0,50,45.714968
-50.0,50,45.82762
-48.0,50,45.945183
-50.0,50,46.059006
-50.0,50,46.174227
-50.0,50,46.288135
-50.0,50,46.405355
-50.0,50,46.52419
-50.0,50,46.640882
-50.0,50,46.762972
-50.0,50,46.875689
-48.0,50,46.98546
-50.0,50,47.101237
-50.0,50,47.218658
-50.0,50,47.333631
-46.0,50,47.446757
-50.0,50,47.562349
-50.0,50,47.674409
-50.0,50,47.78735
-50.0,50,47.902866
-50.0,50,48.018583
-50.0,50,48.137503
-50.0,50,48.249912
-50.0,50,48.363757
-50.0,50,48.48122
-50.0,50,48.594817
-50.0,50,48.710293
-50.0,50,48.824997
-50.0,50,48.935247
-50.0,50,49.557247
-50.0,50,49.672632
-50.0,50,49.782542
-48.0,50,49.898225
-50.0,50,50.009306
-50.0,50,50.123603
-50.0,50,50.238217
-50.0,50,50.353728
-50.0,50,50.468447
-50.0,50,50.889794
-50.0,50,51.000694
-50.0,50,51.111866
-50.0,50,51.22373
-50.0,50,51.332938
-50.0,50,51.44244
-50.0,50,51.559869
-50.0,50,51.671636
-50.0,50,51.782582
-50.0,50,51.89297
-48.0,50,52.004534
-45.0,50,52.118054
-50.0,50,52.230071
-50.0,50,52.347517
-50.0,50,52.462713
-50.0,50,52.573505
-37.0,50,52.684308
-47.0,50,52.794952
-50.0,50,52.907793
-43.0,50,53.022706
-50.0,50,53.133183
-50.0,50,53.246988
-50.0,50,53.357169
-50.0,50,53.467581
-50.0,50,53.578662
-50.0,50,53.694793
