#{"t_start": 1775966359.4315364, "env_id": "FetchReach-v4"}
r,l,t
-50.0,50,51.373359
-50.0,50,51.483548
-50.0,50,51.59469
-50.0,50,51.703216
-50.0,50,51.811775
-49.0,50,51.924765
-50.0,50,52.035146
-50.0,50,52.145406
-50.0,50,52.255042
-50.0,50,52.364315
-50.0,50,52.476567
-48.0,50,52.586702
-50.0,50,52.696178
-50.0,50,52.806193
-50.0,50,52.918367
-50.0,50,53.032321
-50.0,50,53.142487
-49.0,50,53.25179
-30.0,50,53.364864
-50.0,50,53.473991
-49.0,50,53.582261
-47.0,50,53.692925
-50.0,50,53.805637
-50.0,50,55.093784
-50.0,50,55.203131
-50.0,50,55.314384
-50.0,50,55.423188
-50.0,50,55.532267
-50.0,50,55.641381
-50.0,50,55.751733
-50.0,50,55.863109
-45.0,50,55.973088
-50.0,50,56.087515
-50.0,50,56.197714
-50.0,50,56.307046
-50.0,50,56.417176
-50.0,50,56.53005
-50.0,50,56.644861
-50.0,50,56.75618
-50.0,50,56.866826
-50.0,50,56.978032
-50.0,50,57.087102
-50.0,50,57.200802
-50.0,50,57.310256
-50.0,50,57.420078
-50.0,50,57.530039
-50.0,50,57.640297
-50.0,50,57.752301
-50.0,50,57.868449
-50.0,50,57.979501
-50.0,50,58.089288
-50.0,50,58.198526
-50.0,50,58.311511
-49.0,50,58.421773
-50.0,50,58.531758
-50.0,50,59.113193
-50.0,50,59.222323
-50.0,50,59.331873
-50.0,50,59.440871
-50.0,50,59.549673
-50.0,50,59.658828
-50.0,50,59.777061
-50.0,50,59.886587
-50.0,50,60.00047
-50.0,50,61.271706
-50.0,50,61.382512
-50.0,50,61.490945
-50.0,50,61.599986
-50.0,50,61.71557
-50.0,50,61.824803
-50.0,50,61.93809
-50.0,50,62.046871
-49.0,50,62.157172
-50.0,50,62.268433
-50.0,50,62.378782
-50.0,50,62.48767
-50.0,50,62.599444
-50.0,50,62.70936
-50.0,50,62.820045
-50.0,50,62.931152
-50.0,50,63.039442
-50.0,50,63.148873
-50.0,50,63.257343
-50.0,50,63.367077
-50.0,50,63.479106
-50.0,50,63.588448
-50.0,50,63.697683
-50.0,50,63.809456
-50.0,50,63.921262
-50.0,50,64.029501
-50.0,50,64.139786
-50.0,50,64.25898
-50.0,50,64.369172
-50.0,50,64.483043
-50.0,50,64.594222
-50.0,50,64.704262
-50.0,50,64.815689
-49.0,50,64.925186
-50.0,50,65.034741
-50.0,50,65.148536
-50.0,50,65.264766
-50.0,50,65.374487
-45.0,50,65.485127
-50.0,50,65.595446
-50.0,50,65.705789
-47.0,50,67.057004
-50.0,50,67.167097
-50.0,50,67.27767
-42.0,50,67.38844
-50.0,50,67.497887
-50.0,50,67.609798
-50.0,50,67.723712
-50.0,50,67.837328
-50.0,50,67.955461
-50.0,50,68.070081
-50.0,50,68.181851
-50.0,50,68.292062
-48.0,50,68.404304
-50.0,50,68.515842
-50.0,50,68.62641
-50.0,50,68.736052
-50.0,50,68.845463
-50.0,50,68.955161
-48.0,50,69.064428
-50.0,50,69.179251
-47.0,50,69.293807
-50.0,50,69.416572
-41.0,50,69.531995
-50.0,50,69.653483
-50.0,50,69.763282
-48.0,50,69.888263
-50.0,50,70.008536
-50.0,50,70.129669
-49.0,50,70.249643
-49.0,50,70.362102
-50.0,50,70.475628
-50.0,50,70.589776
-50.0,50,70.714536
-50.0,50,70.830603
-50.0,50,70.94501
-50.0,50,71.056232
-50.0,50,71.173112
-44.0,50,71.293004
-50.0,50,71.411052
-50.0,50,71.528974
-50.0,50,71.638915
-50.0,50,72.953926
-50.0,50,73.06592
-48.0,50,73.175439
-50.0,50,73.284814
-50.0,50,73.397379
-46.0,50,73.514096
-50.0,50,73.626601
-50.0,50,73.740061
-50.0,50,73.850111
-50.0,50,73.962123
-50.0,50,74.071834
-50.0,50,74.183275
-50.0,50,74.296978
-50.0,50,74.410917
-50.0,50,74.524276
-50.0,50,74.634264
-50.0,50,74.745435
-50.0,50,74.857222
-50.0,50,74.968565
-50.0,50,75.082635
-50.0,50,75.195204
-50.0,50,75.30551
-50.0,50,75.419806
-50.0,50,75.53073
-50.0,50,75.640669
-50.0,50,75.752214
-50.0,50,75.866947
-50.0,50,75.976284
-50.0,50,76.086356
-50.0,50,76.195517
-44.0,50,76.30519
-50.0,50,76.415642
-50.0,50,76.531944
-50.0,50,76.650388
-49.0,50,76.768865
-47.0,50,76.879104
-50.0,50,76.992456
-50.0,50,77.15366
-50.0,50,77.280754
-50.0,50,77.394489
-50.0,50,77.505536
-50.0,50,78.816475
-50.0,50,78.931366
-50.0,50,79.056124
-50.0,50,79.177455
-50.0,50,79.29584
-50.0,50,79.410681
-50.0,50,79.523922
-50.0,50,79.637931
-50.0,50,79.753056
-50.0,50,79.877894
-50.0,50,80.007685
