#{"t_start": 1775971075.9140542, "env_id": "FetchReach-v4"}
r,l,t
-33.0,50,382.683043
-21.0,50,383.197113
-41.0,50,383.699841
-15.0,50,384.205628
-21.0,50,384.714977
-50.0,50,385.219078
-45.0,50,385.72278
-47.0,50,386.237229
-50.0,50,386.761699
-50.0,50,387.268752
-7.0,50,387.78604
-43.0,50,388.292447
-1.0,50,388.802533
-50.0,50,389.317416
-50.0,50,389.831196
-24.0,50,390.335973
-5.0,50,390.844789
-34.0,50,391.354305
-50.0,50,391.858264
-20.0,50,392.366169
-7.0,50,392.873966
-11.0,50,393.383277
-32.0,50,393.900401
-14.0,50,394.417759
-42.0,50,394.933642
-50.0,50,395.444548
-43.0,50,395.962881
-50.0,50,396.48832
-37.0,50,397.03323
-44.0,50,397.566212
-48.0,50,398.096037
-50.0,50,398.625458
-50.0,50,399.166098
-36.0,50,399.711274
-50.0,50,400.23564
0.0,50,400.764667
-50.0,50,401.295302
-50.0,50,401.825643
-50.0,50,402.344056
-26.0,50,402.863986
-50.0,50,403.386531
-41.0,50,403.897008
-47.0,50,404.40218
-50.0,50,404.922889
-50.0,50,405.434592
-50.0,50,405.942031
-50.0,50,406.447565
-50.0,50,406.979918
-10.0,50,407.506826
-50.0,50,408.027873
-50.0,50,408.537528
-50.0,50,409.059377
-50.0,50,409.584216
-49.0,50,410.111242
-50.0,50,410.637097
-13.0,50,411.165701
-50.0,50,411.695516
-50.0,50,412.205755
-39.0,50,412.726686
-50.0,50,413.280797
-25.0,50,413.805796
-30.0,50,414.320243
-50.0,50,414.827326
-33.0,50,415.335979
-50.0,50,415.842898
-50.0,50,416.348784
-16.0,50,416.854756
-50.0,50,417.363986
-50.0,50,417.875618
-50.0,50,418.885276
-50.0,50,419.402594
-50.0,50,419.905704
-50.0,50,420.415676
-49.0,50,420.937661
-50.0,50,421.45186
-2.0,50,421.96432
-50.0,50,422.500517
-50.0,50,423.034051
-35.0,50,423.563397
-50.0,50,424.093066
-40.0,50,424.627093
-50.0,50,425.16437
-24.0,50,425.69732
-50.0,50,426.238883
-16.0,50,426.773468
-50.0,50,427.305075
-50.0,50,427.821046
-36.0,50,428.331151
-16.0,50,428.83773
-48.0,50,429.346139
-50.0,50,429.850795
-50.0,50,430.357166
-13.0,50,430.863582
-50.0,50,431.381074
-50.0,50,431.896917
-50.0,50,432.408356
-15.0,50,432.923002
-50.0,50,433.442091
-50.0,50,433.957587
-35.0,50,434.473577
-50.0,50,434.978628
-50.0,50,435.495553
-2.0,50,436.006269
-21.0,50,436.516749
-50.0,50,437.028741
-4.0,50,437.540693
-21.0,50,438.047957
-9.0,50,438.564556
-50.0,50,439.071015
-34.0,50,439.579124
-50.0,50,440.081689
-50.0,50,440.584169
-2.0,50,441.091915
-50.0,50,441.613468
-43.0,50,442.130023
-45.0,50,442.64747
-22.0,50,443.169302
-50.0,50,443.691481
-50.0,50,444.19626
-1.0,50,444.703585
-47.0,50,445.212331
-16.0,50,445.744533
-46.0,50,446.277708
-4.0,50,446.811836
-23.0,50,447.352698
-7.0,50,447.885546
-40.0,50,448.419141
-48.0,50,448.9495
-3.0,50,449.474857
-12.0,50,449.993906
-32.0,50,450.509546
-31.0,50,451.027952
-9.0,50,451.540157
-1.0,50,452.057809
-6.0,50,452.568133
-1.0,50,453.0834
-17.0,50,453.59881
-5.0,50,454.112384
-1.0,50,454.623432
-11.0,50,455.138394
-5.0,50,455.6651
-44.0,50,456.176841
-36.0,50,456.683551
-17.0,50,457.218691
-34.0,50,457.750508
-2.0,50,458.282588
-13.0,50,458.807972
-3.0,50,459.329745
-37.0,50,459.852985
-24.0,50,460.384136
-16.0,50,460.902662
-6.0,50,461.431709
-38.0,50,461.945291
-48.0,50,462.470048
-7.0,50,462.987557
-8.0,50,463.502094
-1.0,50,464.008092
-15.0,50,464.515338
-21.0,50,465.027568
-20.0,50,465.542209
-6.0,50,466.064508
-4.0,50,466.572365
-40.0,50,467.096188
0.0,50,467.605023
-33.0,50,468.12659
-18.0,50,468.636652
-32.0,50,469.147716
-6.0,50,469.659953
-25.0,50,470.168391
-4.0,50,470.706872
-10.0,50,471.237913
-4.0,50,471.787234
-3.0,50,472.330128
-3.0,50,472.85276
-12.0,50,473.376203
-9.0,50,473.924656
-14.0,50,474.46876
-26.0,50,475.000295
-4.0,50,475.530747
0.0,50,476.065954
-7.0,50,476.596653
-13.0,50,477.138155
-4.0,50,477.67781
-7.0,50,478.207345
-8.0,50,478.741089
-7.0,50,479.271209
-11.0,50,479.798739
-5.0,50,480.326429
-6.0,50,480.857764
-2.0,50,481.385811
-6.0,50,481.889668
-7.0,50,482.396155
-4.0,50,482.910238
-3.0,50,483.43228
-6.0,50,483.949617
-4.0,50,484.4721
-7.0,50,484.976361
-2.0,50,485.514487
-5.0,50,486.090143
-6.0,50,486.61736
-7.0,50,487.146847
-20.0,50,487.703668
-15.0,50,488.240899
-2.0,50,488.771541
-12.0,50,489.298048
-13.0,50,489.814254
-14.0,50,490.340015
-3.0,50,490.855121
-3.0,50,491.361667
-3.0,50,491.864722
-5.0,50,492.364561
-9.0,50,492.878169
-12.0,50,493.379407
-16.0,50,493.901452
-6.0,50,494.417678
-6.0,50,494.931937
-7.0,50,495.446466
-4.0,50,495.956063
-38.0,50,496.480185
-16.0,50,496.995815
-7.0,50,497.5033
-34.0,50,498.029795
-4.0,50,498.539071
-15.0,50,499.044794
-20.0,50,499.561378
-12.0,50,500.078739
-4.0,50,500.590472
-5.0,50,501.100577
-5.0,50,501.615604
-43.0,50,502.12776
-1.0,50,502.637331
-13.0,50,503.148581
-5.0,50,503.657572
-5.0,50,504.202501
-5.0,50,504.728661
0.0,50,505.248269
-24.0,50,505.773289
-1.0,50,506.297794
-12.0,50,506.81767
-14.0,50,507.346148
-15.0,50,507.8729
-10.0,50,508.415791
-13.0,50,508.975334
-9.0,50,509.508736
-5.0,50,510.051494
-32.0,50,510.589042
-4.0,50,511.135585
-2.0,50,511.663039
-3.0,50,512.181935
-2.0,50,512.701476
-25.0,50,513.234436
-8.0,50,513.770764
-8.0,50,514.303826
-4.0,50,514.839025
-5.0,50,515.371394
-3.0,50,515.902043
-5.0,50,516.434978
-6.0,50,516.964847
-11.0,50,517.50071
-4.0,50,518.046263
-1.0,50,518.574342
-3.0,50,519.113471
-17.0,50,519.647422
-4.0,50,520.169673
-1.0,50,520.691459
-1.0,50,521.207079
-6.0,50,521.733132
-2.0,50,522.256435
-2.0,50,522.779083
-2.0,50,523.803379
-5.0,50,524.311427
-3.0,50,524.820409
-4.0,50,525.333313
-3.0,50,525.854217
-11.0,50,526.3816
-13.0,50,526.914819
-3.0,50,527.438779
-2.0,50,527.981298
-18.0,50,528.489804
-2.0,50,529.002192
-5.0,50,529.519609
-5.0,50,530.036832
-5.0,50,530.547956
-2.0,50,531.097184
-2.0,50,531.624664
-2.0,50,532.142051
-10.0,50,532.656878
-17.0,50,533.187893
-5.0,50,533.728572
0.0,50,534.257423
-2.0,50,534.789654
-22.0,50,535.331004
-2.0,50,535.887024
-3.0,50,536.415588
-10.0,50,536.953419
-7.0,50,537.488173
-5.0,50,538.012943
-5.0,50,538.539386
-2.0,50,539.090226
-4.0,50,539.633645
-2.0,50,540.160615
0.0,50,540.686697
-1.0,50,541.213576
-4.0,50,541.742048
-1.0,50,542.267051
-3.0,50,542.799463
-1.0,50,543.327188
-3.0,50,543.854553
-1.0,50,544.380981
-3.0,50,544.906191
-6.0,50,545.435637
0.0,50,545.970088
-4.0,50,546.527086
-3.0,50,547.054959
0.0,50,547.583719
-3.0,50,548.109113
-2.0,50,548.63326
-2.0,50,549.159964
-3.0,50,549.706416
-8.0,50,550.227194
-1.0,50,550.749794
-2.0,50,551.27185
-16.0,50,551.794639
-2.0,50,552.321739
-2.0,50,552.854691
-3.0,50,553.386448
-3.0,50,553.922282
0.0,50,554.443565
-2.0,50,554.962556
-3.0,50,555.494289
-3.0,50,556.027508
-2.0,50,556.589015
-4.0,50,557.111294
-3.0,50,557.634941
-1.0,50,558.15525
-3.0,50,558.696527
-1.0,50,559.205743
-3.0,50,559.719958
-2.0,50,560.231006
-2.0,50,560.755771
-2.0,50,561.275483
-2.0,50,561.799623
-3.0,50,562.322449
-2.0,50,562.830642
-2.0,50,563.346374
-3.0,50,563.864004
-2.0,50,564.390233
0.0,50,564.910418
-2.0,50,565.434941
-2.0,50,565.950379
-2.0,50,566.472362
-1.0,50,566.998047
-1.0,50,567.529926
-3.0,50,568.065696
-2.0,50,568.596648
0.0,50,569.125379
-2.0,50,569.651598
-8.0,50,570.187723
-2.0,50,570.698991
-1.0,50,571.209558
-3.0,50,571.716527
-3.0,50,572.247158
-3.0,50,572.759867
-3.0,50,573.269417
-2.0,50,573.794262
-2.0,50,574.30915
-3.0,50,574.816562
-2.0,50,575.325812
0.0,50,575.846078
-3.0,50,576.361673
-2.0,50,576.875118
-3.0,50,577.391629
-2.0,50,577.897704
-2.0,50,578.4227
-1.0,50,578.93735
-2.0,50,579.479411
-3.0,50,580.007626
-2.0,50,580.534867
0.0,50,581.061649
-2.0,50,581.580682
-2.0,50,582.09189
-2.0,50,582.612027
-3.0,50,583.122017
-3.0,50,583.676008
-3.0,50,584.227429
-2.0,50,584.766641
-4.0,50,585.29795
-3.0,50,585.820842
-1.0,50,586.336366
-7.0,50,586.855418
-2.0,50,587.371323
-3.0,50,587.8866
-2.0,50,588.400344
-1.0,50,588.915001
-1.0,50,589.427154
-3.0,50,589.93918
-2.0,50,590.450632
-3.0,50,590.961246
-1.0,50,591.471027
-2.0,50,591.978177
-2.0,50,592.490982
0.0,50,592.997397
-2.0,50,593.507461
-2.0,50,594.044117
-2.0,50,594.586955
-2.0,50,595.109234
-2.0,50,595.658767
-1.0,50,596.172834
-1.0,50,596.694754
-1.0,50,597.216588
-2.0,50,597.734766
-2.0,50,598.277276
0.0,50,598.786508
-2.0,50,599.29551
-2.0,50,599.805123
-2.0,50,600.333249
-2.0,50,600.853876
-2.0,50,601.364151
-1.0,50,601.872291
-15.0,50,602.419142
-2.0,50,602.934097
-1.0,50,603.459002
-3.0,50,603.974584
-2.0,50,604.489811
-1.0,50,605.000884
-2.0,50,605.516561
