#{"t_start": 1775967236.1997368, "env_id": "FetchReach-v4"}
r,l,t
-40.0,50,185.429169
-45.0,50,185.955001
-15.0,50,186.499213
-50.0,50,187.001921
-1.0,50,187.494528
-2.0,50,187.989099
-4.0,50,188.484979
-10.0,50,188.986924
0.0,50,189.484015
-50.0,50,189.977116
-3.0,50,190.474095
-47.0,50,190.963229
-14.0,50,191.467375
-46.0,50,191.969954
-50.0,50,192.472791
-50.0,50,192.97194
-26.0,50,193.4823
-50.0,50,193.974838
-50.0,50,194.474876
-5.0,50,194.96623
-6.0,50,195.465534
-2.0,50,195.979896
-9.0,50,196.491706
-4.0,50,196.999114
-33.0,50,197.521437
-50.0,50,198.041654
-6.0,50,198.560379
-3.0,50,199.075254
-7.0,50,199.591514
-7.0,50,200.098358
-50.0,50,200.628415
-4.0,50,201.14558
-10.0,50,201.654045
-11.0,50,202.170889
-3.0,50,202.684621
-4.0,50,203.199331
-7.0,50,204.228447
-9.0,50,204.741926
-8.0,50,205.25932
-14.0,50,205.781681
-13.0,50,206.294961
-1.0,50,206.804363
-17.0,50,207.321673
-3.0,50,207.830853
-5.0,50,208.350767
-2.0,50,208.856696
-1.0,50,209.363445
-2.0,50,209.901169
-3.0,50,210.43022
-1.0,50,210.977379
-45.0,50,211.532588
-16.0,50,212.092331
-1.0,50,212.621518
-5.0,50,213.17523
-1.0,50,213.685189
-6.0,50,214.191242
-3.0,50,214.705341
-2.0,50,215.222985
-6.0,50,215.731851
-50.0,50,216.233609
-3.0,50,216.7359
-4.0,50,217.24266
-5.0,50,217.747829
-5.0,50,218.252034
-3.0,50,218.757342
-2.0,50,219.25806
-12.0,50,219.754349
-3.0,50,220.250919
-2.0,50,220.747949
-6.0,50,221.25121
-3.0,50,221.755206
-28.0,50,222.268866
-4.0,50,222.77224
-2.0,50,223.271195
-4.0,50,223.770797
-3.0,50,224.272285
-4.0,50,224.767097
-2.0,50,225.263526
-2.0,50,225.76751
-3.0,50,226.268131
